Predicted Ethnicity,Reported Ethnicity,Frequency,proportion of reported class,Cohort
African,African,10,0.769230769,C1
Asian,African,0,0,C1
Caucasian,African,0,0,C1
Ambiguous,African,3,0.230769231,C1
African,Asian,0,0,C1
Asian,Asian,3,0.230769231,C1
Caucasian,Asian,1,0.076923077,C1
Ambiguous,Asian,9,0.692307692,C1
African,Caucasian,0,0,C1
Asian,Caucasian,0,0,C1
Caucasian,Caucasian,45,0.97826087,C1
Ambiguous,Caucasian,1,0.02173913,C1
African,African,12,0.923076923,C2
Asian,African,0,0,C2
Caucasian,African,0,0,C2
Ambiguous,African,1,0.076923077,C2
African,Asian,0,0,C2
Asian,Asian,0,0,C2
Caucasian,Asian,0,0,C2
Ambiguous,Asian,1,1,C2
African,Caucasian,0,0,C2
Asian,Caucasian,0,0,C2
Caucasian,Caucasian,10,1,C2
Ambiguous,Caucasian,0,0,C2
African,African,20,0.869565217,C3
Asian,African,0,0,C3
Caucasian,African,1,0.043478261,C3
Ambiguous,African,2,0.086956522,C3
African,Asian,0,0,C3
Asian,Asian,8,0.888888889,C3
Caucasian,Asian,0,0,C3
Ambiguous,Asian,1,0.111111111,C3
African,Caucasian,1,0.003891051,C3
Asian,Caucasian,4,0.015564202,C3
Caucasian,Caucasian,240,0.93385214,C3
Ambiguous,Caucasian,12,0.046692607,C3
African,African,5,0.714285714,C4
Asian,African,0,0,C4
Caucasian,African,1,0.142857143,C4
Ambiguous,African,1,0.142857143,C4
African,Asian,0,0,C4
Asian,Asian,5,0.416666667,C4
Caucasian,Asian,7,0.583333333,C4
Ambiguous,Asian,0,0,C4
African,Caucasian,0,0,C4
Asian,Caucasian,0,0,C4
Caucasian,Caucasian,25,1,C4
Ambiguous,Caucasian,0,0,C4
African,African,0,0,C5
Asian,African,0,0,C5
Caucasian,African,1,1,C5
Ambiguous,African,0,0,C5
African,Asian,0,0,C5
Asian,Asian,15,0.833333333,C5
Caucasian,Asian,2,0.111111111,C5
Ambiguous,Asian,1,0.055555556,C5
African,Caucasian,0,0,C5
Asian,Caucasian,0,0,C5
Caucasian,Caucasian,51,1,C5
Ambiguous,Caucasian,0,0,C5
African,African,0,0,C6
Asian,African,0,0,C6
Caucasian,African,1,1,C6
Ambiguous,African,0,0,C6
African,Asian,0,0,C6
Asian,Asian,6,0.857142857,C6
Caucasian,Asian,1,0.142857143,C6
Ambiguous,Asian,0,0,C6
African,Caucasian,0,0,C6
Asian,Caucasian,0,0,C6
Caucasian,Caucasian,19,1,C6
Ambiguous,Caucasian,0,0,C6
