algorithm,component,.estimate_rmse,.estimate_rsq,.estimate_mae
epidish (CBS),Endothelial,0.038851604,0.973732424,0.021214966
epidish (CBS),Hofbauer,0.051996172,0.953675684,0.022368467
epidish (CBS),nRBC,0.020538175,0.992764132,0.012092332
epidish (CBS),Stromal,0.048728864,0.961505815,0.028825779
epidish (CBS),Syncytiotrophoblast,0.028203947,0.986283076,0.017866201
epidish (CBS),Trophoblasts,0.080055089,0.889689564,0.038789972
epidish (CP),Endothelial,0.0400325,0.972165902,0.022173744
epidish (CP),Hofbauer,0.053214045,0.951073964,0.024416374
epidish (CP),nRBC,0.020176641,0.993067751,0.011610863
epidish (CP),Stromal,0.047439818,0.96152216,0.02804321
epidish (CP),Syncytiotrophoblast,0.032485508,0.98165749,0.019972649
epidish (CP),Trophoblasts,0.082185373,0.883705098,0.041178798
epidish (RPC),Endothelial,0.038984655,0.97378065,0.020870862
epidish (RPC),Hofbauer,0.052878283,0.951566953,0.022501562
epidish (RPC),nRBC,0.020556401,0.993095811,0.011822701
epidish (RPC),Stromal,0.045902105,0.963807913,0.027104029
epidish (RPC),Syncytiotrophoblast,0.027439068,0.986984918,0.017807956
epidish (RPC),Trophoblasts,0.079430268,0.89252891,0.039262987
Houseman (CP),Endothelial,0.040096531,0.972058054,0.022257566
Houseman (CP),Hofbauer,0.053366324,0.95086134,0.024761376
Houseman (CP),nRBC,0.019723148,0.993289564,0.011350393
Houseman (CP),Stromal,0.047425659,0.961655181,0.028048201
Houseman (CP),Syncytiotrophoblast,0.032561014,0.981701521,0.019832635
Houseman (CP),Trophoblasts,0.08211569,0.884387553,0.041005693
