Group,Celltype,ONTOLOGY,TERM,N,DE,P.DE,FDR,ID,Generatio,neg_log_P,Order
First,Endothelial,CC,cytoplasm,10837,2444.5,3.16E-05,0.005485573,GO:0005737,0.225569807,4.500469047,1
First,Endothelial,BP,response to biotic stimulus,909,206.3333333,4.53E-04,0.040802844,GO:0009607,0.226989366,3.343740622,2
First,Endothelial,CC,cytoplasmic part,9146,2076.666667,1.29E-04,0.015890208,GO:0044444,0.227057366,3.8910149,3
First,Endothelial,BP,response to stimulus,8475,1938.666667,6.91E-08,3.14E-05,GO:0050896,0.228751229,7.160556888,4
First,Endothelial,BP,defense response,1573,366.5,1.01E-06,2.84E-04,GO:0006952,0.232994278,5.995583771,5
First,Endothelial,BP,response to external biotic stimulus,878,204.8333333,9.29E-05,0.012587306,GO:0043207,0.233295368,4.032126238,6
First,Endothelial,BP,response to other organism,877,204.8333333,8.85E-05,0.012282261,GO:0051707,0.233561384,4.052840136,7
First,Endothelial,BP,cellular response to stimulus,7030,1650.333333,3.82E-08,1.85E-05,GO:0051716,0.234755808,7.417828844,8
First,Endothelial,BP,localization,6282,1478.424242,5.50E-04,0.045608389,GO:0051179,0.235342923,3.259795533,9
First,Endothelial,BP,cell communication,6124,1461.333333,3.72E-06,9.73E-04,GO:0007154,0.238623993,5.429336594,10
First,Endothelial,BP,signaling,6096,1456.833333,5.79E-06,0.001395846,GO:0023052,0.238981846,5.237477539,11
First,Endothelial,BP,positive regulation of biological process,5803,1387,4.54E-04,0.040802844,GO:0048518,0.239014303,3.343151354,12
First,Endothelial,BP,signal transduction,5647,1350.333333,1.32E-07,5.18E-05,GO:0007165,0.239124019,6.879178968,13
First,Endothelial,BP,response to stress,3765,907,1.30E-08,7.79E-06,GO:0006950,0.240903054,7.88546065,14
First,Endothelial,BP,regulation of defense response,798,192.5,2.33E-04,0.025763604,GO:0031347,0.24122807,3.632088471,15
First,Endothelial,BP,response to external stimulus,2275,549.6666667,4.18E-04,0.03867602,GO:0009605,0.241611722,3.378585425,16
First,Endothelial,CC,vesicle,3654,898.9242424,6.08E-07,1.87E-04,GO:0031982,0.246011013,6.216101216,17
First,Endothelial,BP,response to bacterium,585,145.3333333,1.58E-05,0.003274726,GO:0009617,0.248433048,4.800394636,18
First,Endothelial,CC,response to bacterium,4181,1041,1.20E-07,4.97E-05,GO:0012505,0.248983497,6.919921338,19
