cpg,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast
cg01407254,0.131015034,0.819863078,0.969406474,0.778577336,0.97807369,0.95233131
cg18186478,0.109145188,0.823366868,0.893646359,0.73627298,0.904979924,0.615429642
cg15209369,0.163287727,0.809890848,0.925395003,0.78830805,0.893265889,0.887934572
cg01377268,0.061495711,0.770536747,0.936130561,0.677443446,0.916801683,0.19091622
cg05059616,0.07328714,0.794357987,0.928577139,0.736846872,0.944802251,0.081697309
cg06884352,0.114826165,0.761613688,0.876692877,0.698781816,0.824504499,0.84864072
cg13561081,0.105802945,0.71557474,0.879785271,0.784665657,0.893404687,0.529029064
cg04901623,0.137757177,0.716562985,0.921601789,0.780220539,0.836505435,0.800181462
cg25834768,0.129926675,0.761162162,0.919748313,0.434167506,0.959080243,0.966612782
cg09268718,0.13750448,0.725052483,0.956661434,0.875597923,0.957136251,0.218340555
cg26033870,0.166546145,0.82195158,0.888995677,0.769196863,0.9297106,0.651415543
cg05241828,0.197041067,0.698315677,0.923629915,0.800856961,0.979254821,0.904883753
cg22377814,0.138285837,0.772733051,0.876085276,0.588628524,0.911889389,0.880862412
cg04452437,0.061777508,0.748608874,0.922118987,0.71711881,0.834838857,0.121129825
cg19045070,0.205048117,0.864014232,0.92256627,0.809691775,0.907850388,0.811016405
cg27317046,0.097232578,0.596585665,0.856787312,0.542293946,0.973819682,0.81674187
cg17455155,0.090472266,0.743443815,0.948450893,0.656360298,0.870619087,0.323928679
cg01068601,0.050437466,0.417987398,0.862816788,0.643840174,0.965057879,0.534257593
cg06775149,0.090065603,0.648974101,0.88441323,0.689508538,0.862363049,0.56204391
cg14040131,0.070640279,0.686244261,0.921817719,0.636336273,0.907247968,0.255421302
cg05484949,0.141385974,0.672317308,0.906392678,0.71753378,0.864994286,0.845965046
cg22906709,0.104920321,0.753173408,0.953663615,0.72277911,0.933408425,0.127132708
cg08000459,0.084947016,0.793596512,0.939893305,0.662913314,0.850988373,0.186967702
cg00033490,0.147039265,0.847956575,0.928835014,0.808001292,0.908807385,0.251383112
cg17826893,0.142853741,0.816478213,0.918488388,0.693003536,0.910868123,0.478620752
cg03778207,0.071900048,0.686860463,0.892118441,0.571291362,0.791013995,0.627827859
cg08866991,0.089892557,0.723080843,0.950044641,0.700153092,0.901618203,0.117089488
cg04696274,0.21420731,0.7897556,0.936516243,0.78532709,0.958096283,0.807709475
cg04892766,0.088711828,0.698395766,0.906110712,0.723820144,0.826628605,0.330440988
cg06506863,0.152133576,0.733790589,0.915800154,0.653778541,0.893754197,0.743002057
cg10501210,0.202007799,0.926920917,0.945429207,0.903960667,0.970031746,0.150689688
cg01644285,0.057845395,0.644009356,0.884441229,0.709315997,0.882141085,0.068000395
cg00319661,0.194915921,0.868106995,0.966212561,0.786314492,0.918690946,0.477105989
cg19831386,0.079936065,0.713382292,0.861795848,0.616150197,0.893772218,0.306778369
cg01940181,0.120650673,0.723328219,0.961706958,0.634391094,0.925327785,0.355265039
cg15193215,0.087376721,0.749354669,0.922191765,0.749490378,0.821911016,0.10813885
cg14557288,0.063519739,0.652730945,0.936714534,0.560800033,0.910446762,0.194256789
cg05796838,0.06977799,0.616888074,0.829980751,0.619315971,0.979971053,0.234641012
cg22282764,0.12677689,0.799530132,0.933455925,0.772559263,0.841262736,0.212767377
cg24730892,0.086331272,0.712188718,0.926868078,0.652629375,0.850464871,0.214933826
cg26089753,0.0965908,0.782681425,0.920963807,0.742665566,0.791086617,0.153413608
cg13002506,0.106463454,0.708532058,0.726992448,0.735896942,0.867992459,0.553994418
cg04362790,0.1984225,0.775446807,0.943209535,0.743240937,0.878358874,0.796480383
cg04246253,0.15635177,0.668669367,0.86226143,0.783526289,0.821591623,0.81187458
cg19674178,0.141921519,0.753523674,0.887951022,0.648982103,0.834104493,0.699399723
cg00445591,0.142022104,0.653214632,0.887392866,0.727390722,0.826671504,0.752614811
cg00593773,0.132604536,0.732417527,0.932725634,0.631946343,0.915567217,0.423291575
cg07344019,0.109248188,0.809354596,0.898849385,0.680431382,0.850311141,0.168417945
cg06263178,0.097141636,0.64664209,0.864470396,0.652036849,0.766569332,0.652027853
cg26003023,0.081574227,0.626890236,0.90418802,0.576912057,0.839618876,0.455611554
cg21348406,0.932608546,0.260508096,0.115003475,0.32485868,0.017051248,0.850157407
cg00661970,0.90476202,0.156237898,0.069302549,0.28947233,0.034633597,0.907257124
cg08086720,0.907827181,0.190569548,0.09965594,0.315848096,0.030480181,0.91450347
cg11841771,0.850079991,0.164087894,0.074148933,0.249474201,0.025866438,0.869365738
cg26385172,0.855773516,0.179975339,0.071074896,0.259717348,0.034531832,0.869504967
cg22230229,0.913823131,0.218112881,0.143074793,0.364623505,0.079612527,0.893304544
cg21045464,0.828259105,0.137481867,0.059976298,0.211962472,0.027839688,0.870193262
cg16086559,0.872568791,0.221404088,0.092268623,0.287317596,0.034075106,0.893961251
cg00880290,0.776859155,0.101899824,0.038897265,0.122581194,0.017120109,0.774934632
cg23289079,0.867813861,0.201101765,0.113893742,0.383117151,0.121555936,0.647229967
cg25916282,0.822935005,0.158956679,0.058451799,0.361135497,0.032481137,0.709402257
cg02081006,0.771736111,0.095261572,0.065058189,0.203380084,0.054594965,0.643224428
cg08402365,0.781032078,0.103555881,0.05666274,0.176887615,0.034652534,0.82436424
cg27125044,0.768056709,0.110531407,0.049764126,0.165700513,0.025429578,0.788061807
cg03219968,0.810505262,0.258823206,0.054801442,0.320190529,0.021197007,0.730881187
cg27520776,0.789345893,0.237025919,0.071232227,0.274110497,0.039727621,0.745912509
cg26402417,0.782747594,0.327812959,0.066684748,0.23231136,0.055867506,0.574111633
cg10159630,0.742102443,0.12160045,0.046157958,0.303914436,0.024267363,0.6664548
