Closest_TSS_gene_name,cpg,Discovery Cohort p value,Validation Cohort p value
LAPTM4A,cg09394306,0.174319651,0.096083732
AX747766,cg17850498,0.190780922,0.115205886
ERGIC1,cg26813604,0.173328724,0.075416447
KRT15,cg26625897,0.29567649,0.196864763
ST3GAL1,cg00592695,0.276518273,0.126530793
INHBA,cg11079619,0.210644677,0.11211992
C10orf10,cg02334081,0.12255106,0.074760499
DENND2D,cg20317872,0.176297775,0.094301597
LIMCH1,cg03822934,0.166233755,0.082740687
TMEM242,cg05002580,0.102111224,0.058735261
FAM110A,cg16606561,0.17001863,0.096945307
TRIB3,cg15799353,0.134316876,0.085985663
PIGS,cg24569276,0.113150885,0.056306128
NCF4,cg08612539,0.137832251,0.102244974
ERN1,cg12779575,0.188027222,0.08418519
LOC400238,cg10108710,0.166119738,0.098066233
KIAA0182,cg16804825,0.124801094,0.071362517
CMIP,cg10246581,0.17636436,0.067074323
AMZ1,cg14605117,0.185924847,0.087746686
GDPD5,cg05521767,0.17093374,0.099969545
PIK3AP1,cg27479162,0.14089972,0.065939815
GALNT2,cg23677911,0.168650371,0.094101892
FAM105B,cg18190824,0.165925955,0.092626654
FHL2,cg13754437,0.213666424,0.078683317
SYDE1,cg18584265,0.151832427,0.080139004
PHLDA3,cg07950244,0.190662333,0.11254824
NDRG1,cg14143441,0.206928515,0.142539313
FLNB,cg23730027,0.175639018,0.095374946
STARD13,cg26651514,0.20021872,0.119538436
FLJ32224,cg26185836,0.106857393,0.070704312
C9orf46,cg14025883,0.132338843,0.084656804
IL1R2,cg24617203,0.155436942,0.085986847
SLCO2A1,cg15765546,0.137188492,0.083308136
ZNF395,cg01713086,0.140182602,0.086635869
TGM1,cg23696550,0.145139827,0.075174025
NCOR2,cg21626573,0.135642927,0.07381855
LOC644215,cg04869006,0.110565785,0.059286236
SNORA11B,cg05131266,0.156018653,0.073600531
CEBPA,cg22526990,0.137682612,0.085961984
MORC3,cg00622655,0.165741803,0.07009528
NCOR2,cg20352351,0.190201369,0.105616563
PHYHIP,cg26509870,0.187384332,0.120897594
CYP11A1,cg15903956,0.181327607,0.09888744
LINC00310,cg25032603,0.1625371,0.075278741
LOC100505839,cg19140548,0.190220468,0.127797174
Mir_548,cg26986443,0.139663387,0.050708509
LINC00284,cg05452692,0.168542459,0.08418933
IER5L,cg13908988,0.126719452,0.066403201
MIR3150A,cg07158065,0.156154592,0.096843889
HK1,cg15258080,0.147986364,0.092352884
DUSP16,cg15429134,0.162462797,0.098572589
PAPPA2,cg10994126,0.164965792,0.105661958
GRIP2,cg10586672,0.159649685,0.082722883
FN1,cg12436772,0.269708033,0.157841514
ST3GAL1,cg00736681,0.164876853,0.081399068
BCL6,cg17394304,0.140596971,0.073443487
LOC100507582,cg01180628,0.16243891,0.081333616
MSH4,cg17966362,0.145308769,0.08676411
RRBP1,cg12632411,0.176779152,0.098508718
KRT80,cg00822797,0.141293322,0.078824073
PARD6B,cg10187713,0.18983556,0.093978691
MLL5,cg07351322,0.145596356,0.094641864
KRT39,cg17464043,0.155642312,0.083088211
CORO1C,cg09182455,0.172200136,0.098259646
BET1,cg16568084,0.152729401,0.077222389
HSD3B1,cg16175792,0.149650979,0.108341009
C1orf98,cg19694404,0.147923018,0.072017745
POLE4,cg13547665,0.149999666,0.065976179
VIT,cg26638266,0.107929642,0.050062576
FLNB,cg24204017,0.14241961,0.082346085
SDC1,cg22344841,0.131088402,0.072597713
CALML3,cg17115419,0.187756311,0.102891307
SMARCB1,cg01912455,0.128553798,0.080078421
DUSP1,cg02029908,0.166878557,0.078964734
PDLIM2,cg26366616,0.133921756,0.096014116
EPAS1,cg08900316,0.144279478,0.071078814
LOC100507582,cg20971407,0.201354956,0.114939502
FOS,cg10565512,0.115310542,0.076426625
TANK,cg22060367,0.118391913,0.090628347
ALAD,cg01257194,0.110168802,0.051749692
